,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,54,30.28,优,--,34,#00E400,优,#00E400,7,杭州市,49,优,优,330100,#00E400,120.15,#00E400,28,优,0.6,优,#00E400,330100,#00E400,杭州市,#00E400,优,49,2026-05-04 23:00:00
1,65,29.88,优,--,32,#00E400,优,#00E400,6,宁波市,41,优,优,330200,#00E400,121.55,#00E400,21,优,0.5,优,#00E400,330200,#00E400,宁波市,#00E400,优,41,2026-05-04 23:00:00
2,29,28,优,--,49,#00E400,优,#00E400,7,温州市,45,优,优,330300,#00E400,120.7,#00E400,21,优,0.5,优,#00E400,330300,#00E400,温州市,#00E400,优,45,2026-05-04 23:00:00
3,110,30.75,优,--,22,#00E400,优,#00E400,8,嘉兴市,48,优,优,330400,#00E400,120.75,#00E400,25,优,0.4,优,#00E400,330400,#00E400,嘉兴市,#00E400,优,48,2026-05-04 23:00:00
4,80,30.9,优,PM₁₀,28,#FFFF00,优,#00E400,9,湖州市,56,优,良,330500,#00E400,120.08,#00E400,29,良,0.5,优,#00E400,330500,#FFFF00,湖州市,#00E400,优,58,2026-05-04 23:00:00
5,66,30,优,--,22,#00E400,优,#00E400,7,绍兴市,33,优,优,330600,#00E400,120.57,#00E400,18,优,0.4,优,#00E400,330600,#00E400,绍兴市,#00E400,优,33,2026-05-04 23:00:00
6,44,29.08,优,--,49,#00E400,优,#00E400,3,金华市,41,优,优,330700,#00E400,119.65,#00E400,20,优,0.4,优,#00E400,330700,#00E400,金华市,#00E400,优,41,2026-05-04 23:00:00
7,54,28.93,优,--,27,#00E400,优,#00E400,7,衢州市,30,优,优,330800,#00E400,118.87,#00E400,19,优,0.4,优,#00E400,330800,#00E400,衢州市,#00E400,优,30,2026-05-04 23:00:00
8,56,30,优,--,25,#00E400,优,#00E400,5,舟山市,30,优,优,330900,#00E400,122.2,#00E400,19,优,0.5,优,#00E400,330900,#00E400,舟山市,#00E400,优,30,2026-05-04 23:00:00
9,61,28.68,优,--,34,#00E400,优,#00E400,6,台州市,41,优,优,331000,#00E400,121.43,#00E400,20,优,0.6,优,#00E400,331000,#00E400,台州市,#00E400,优,41,2026-05-04 23:00:00
10,48,28.45,优,--,18,#00E400,优,#00E400,4,丽水市,27,优,优,331100,#00E400,119.92,#00E400,16,优,0.4,优,#00E400,331100,#00E400,丽水市,#00E400,优,27,2026-05-04 23:00:00
